_time,host,source,sourcetype,index,_bkt,_cd,_indextime,_raw,_serial,_si,_sourcetype,_subsecond,linecount,splunk_server
2025-09-19T07:22:15.829+00:00,7690760a2162,audittrail,audittrail,_audit,_audit~0~926AF31F-C680-49F1-94E9-CDF7F0A80625,0:101181,1758266535,"Audit:[timestamp=09-19-2025 07:22:15.829, user=admin, action=search, info=granted REST: /search/jobs/1758266535.23/results, cap=1]",0,7690760a2162; _audit,audittrail,.829781,1,7690760a2162
2025-09-19T07:22:15.555+00:00,7690760a2162,audittrail,audittrail,_audit,_audit~0~926AF31F-C680-49F1-94E9-CDF7F0A80625,0:101176,1758266535,"Audit:[timestamp=09-19-2025 07:22:15.555, user=admin, action=quota, info=granted, search_id=1758266535.23, elapsed_ms=1, cache_size=2]",1,7690760a2162; _audit,audittrail,.555768,1,7690760a2162
2025-09-19T07:22:15.555+00:00,7690760a2162,audittrail,audittrail,_audit,_audit~0~926AF31F-C680-49F1-94E9-CDF7F0A80625,0:101159,1758266535,"Audit:[timestamp=09-19-2025 07:22:15.555, user=admin, action=search, info=granted , search_id='1758266535.23', search='search index=_audit', autojoin='0', buckets=0, ttl=600, max_count=500000, maxtime=8640000, enable_lookups='1', extra_fields='', apiStartTime='Thu Sep 18 07:22:15 2025', apiEndTime='Fri Sep 19 07:22:15 2025', apiIndexStartTime='ZERO_TIME', apiIndexEndTime='ZERO_TIME', savedsearch_name="""", search_type=ad-hoc, is_proxied=false, app=""search"", provenance=""N/A"", mode=""historical"", cap=1]",2,7690760a2162; _audit,audittrail,.555460,1,7690760a2162
2025-09-19T07:22:15.553+00:00,7690760a2162,audittrail,audittrail,_audit,_audit~0~926AF31F-C680-49F1-94E9-CDF7F0A80625,0:101155,1758266535,"Audit:[timestamp=09-19-2025 07:22:15.553, user=admin, action=search, info=granted REST: /search/jobs/, cap=1]",3,7690760a2162; _audit,audittrail,.553849,1,7690760a2162
2025-09-19T07:22:15.484+00:00,7690760a2162,audittrail,audittrail,_audit,_audit~0~926AF31F-C680-49F1-94E9-CDF7F0A80625,0:101147,1758266535,"Audit:[timestamp=09-19-2025 07:22:15.484, user=admin, action=login attempt, info=succeeded reason=user-initiated useragent=""splunk-sdk-python/2.1.1"" clientip=172.19.0.1 method=Splunk session=05f54c4621e520afe15654b646d7a389]",4,7690760a2162; _audit,audittrail,.484795,1,7690760a2162
2025-09-19T07:22:12.877+00:00,7690760a2162,audittrail,audittrail,_audit,_audit~0~926AF31F-C680-49F1-94E9-CDF7F0A80625,0:101139,1758266532,"Audit:[timestamp=09-19-2025 07:22:12.877, user=admin, action=login attempt, info=succeeded reason=user-initiated useragent=""curl/7.61.1"" clientip=127.0.0.1 method=Splunk session=05f54c4621e520afe15654b646d7a389]",5,7690760a2162; _audit,audittrail,.877317,1,7690760a2162
2025-09-19T07:21:42.794+00:00,7690760a2162,audittrail,audittrail,_audit,_audit~0~926AF31F-C680-49F1-94E9-CDF7F0A80625,0:101131,1758266502,"Audit:[timestamp=09-19-2025 07:21:42.794, user=admin, action=login attempt, info=succeeded reason=user-initiated useragent=""curl/7.61.1"" clientip=127.0.0.1 method=Splunk session=05f54c4621e520afe15654b646d7a389]",6,7690760a2162; _audit,audittrail,.794166,1,7690760a2162
2025-09-19T07:21:12.725+00:00,7690760a2162,audittrail,audittrail,_audit,_audit~0~926AF31F-C680-49F1-94E9-CDF7F0A80625,0:101123,1758266472,"Audit:[timestamp=09-19-2025 07:21:12.725, user=admin, action=login attempt, info=succeeded reason=user-initiated useragent=""curl/7.61.1"" clientip=127.0.0.1 method=Splunk session=05f54c4621e520afe15654b646d7a389]",7,7690760a2162; _audit,audittrail,.725850,1,7690760a2162
2025-09-19T07:20:42.651+00:00,7690760a2162,audittrail,audittrail,_audit,_audit~0~926AF31F-C680-49F1-94E9-CDF7F0A80625,0:101115,1758266442,"Audit:[timestamp=09-19-2025 07:20:42.651, user=admin, action=login attempt, info=succeeded reason=user-initiated useragent=""curl/7.61.1"" clientip=127.0.0.1 method=Splunk session=05f54c4621e520afe15654b646d7a389]",8,7690760a2162; _audit,audittrail,.651313,1,7690760a2162
2025-09-19T07:20:12.579+00:00,7690760a2162,audittrail,audittrail,_audit,_audit~0~926AF31F-C680-49F1-94E9-CDF7F0A80625,0:101107,1758266412,"Audit:[timestamp=09-19-2025 07:20:12.579, user=admin, action=login attempt, info=succeeded reason=user-initiated useragent=""curl/7.61.1"" clientip=127.0.0.1 method=Splunk session=05f54c4621e520afe15654b646d7a389]",9,7690760a2162; _audit,audittrail,.579887,1,7690760a2162
